Team,Mean pop,1960,1964,1968,1972,1976,1980,1984,1988,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016
Djibouti,592912.0,85940.0,102945.0,127668.0,165234.0,229304.0,324121.0,382156.0,482337.0,623197.0,623477.0,644649.0,694920.0,742033.0,789129.0,818373.0,846947.0,882886.0,919199.0,954297.0,989087.0,1023261.0
Dominica,68677.0,59379.0,62843.0,66865.0,69870.0,71748.0,72978.0,71936.0,70397.0,69112.0,69198.0,69166.0,68938.0,68346.0,68262.0,68574.0,68742.0,68782.0,68755.0,68888.0,69371.0,70075.0
Ecuador,11116147.0,4618158.0,5183283.0,5825663.0,6533630.0,7304349.0,8135845.0,9022979.0,9969788.0,10914222.0,11347652.0,11775221.0,12199693.0,12626507.0,13070609.0,13534593.0,14009061.0,14496797.0,14989585.0,15483883.0,15957994.0,16439585.0
Eritrea,2234079.0,993568.0,1094042.0,1209602.0,1340838.0,1489656.0,1657982.0,1849594.0,2051546.0,1921153.0,2042500.0,2264073.0,2322753.0,2392880.0,2547424.0,2763140.0,2880093.0,3005779.0,3147727.0,3252596.0,3323425.0,3365287.0
Estonia,1386396.0,1211537.0,1277086.0,1331214.0,1392518.0,1439576.0,1477219.0,1518617.0,1561900.0,1533091.0,1462514.0,1415594.0,1386156.0,1396985.0,1379350.0,1362550.0,1346810.0,1337090.0,1331475.0,1322696.0,1314545.0,1315790.0
Fiji,751633.0,401841.0,455214.0,505979.0,547918.0,586607.0,644582.0,710561.0,764370.0,786859.0,790803.0,796538.0,813947.0,832509.0,849891.0,866694.0,883083.0,896731.0,905169.0,911059.0,915560.0,918371.0
Georgia,4147888.0,3645600.0,3870300.0,4042300.0,4205300.0,4342400.0,4467700.0,4622200.0,4790700.0,4873500.0,4836076.0,4491699.0,4243607.0,4077131.0,3978515.0,3927340.0,3880347.0,3848449.0,3786695.0,3728874.0,3719414.0,3727505.0
Ghana,17738306.0,6911510.0,7640196.0,8418152.0,9365952.0,10509006.0,11865246.0,13342487.0,14671677.0,16241548.0,17040854.0,17844010.0,18714708.0,19665502.0,20758326.0,21906444.0,23098586.0,24326087.0,25574719.0,26858762.0,28196358.0,29554303.0
Guinea,7420115.0,3516814.0,3775510.0,4067333.0,4372212.0,4658743.0,4972609.0,5402084.0,5977175.0,6832195.0,7262112.0,7683115.0,7992545.0,8336967.0,8577790.0,8961039.0,9330625.0,9779785.0,10270728.0,10788692.0,11333365.0,11930985.0
Gambia,1267546.0,399649.0,446375.0,499151.0,560553.0,631894.0,718586.0,824798.0,960837.0,1127152.0,1205882.0,1279070.0,1356189.0,1437539.0,1522223.0,1612225.0,1711294.0,1820542.0,1937275.0,2061014.0,2189019.0,2317206.0
